index,FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),"Preservative (Formalin, Acid Lugol's, Slide)",Cruise/ Expedition ID,Cruise/Expedition Name,Collection date (MM/DD/YY),Field Sample Name,Dive No./ Station No./ Cast No.,Sampling method,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),Latitude,Longitude,Start time (local),End time (local),Start time (UTC),End time (UTC),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (µM),Other chem,Other chem (units X),Field Notes,Personnel Responsible for Collecting Sample,Sample Location in Lab,Station #,Net #,Date (UTC) ,Target Depth (m),Time 1 (UTC) ,Latitude 1,Longitude 1,GPS SOG 1,Wind Speed 1 (knots),Water Temp 1 (deg C) ,Bottom Depth 1 (m) ,Time 2 (UTC) ,Latitude 2,Longitude 2,GPS SOG 2,Wind Speed 2 (knots),Water Temp 2 (deg C) ,Bottom Depth 2,Time 3 (UTC) ,Latitude 3,Longitude 3,GPS SOG 3,Wind Speed 3 (knots),Water Temp 3 (deg C) ,Bottom Depth 3,Total Time In Water ,Sea State,Sampler(s),Flow Meter Type,Flow Meter SN,Flow Meter Start,Flow Meter End,Pressure Sensor SN,Pressure Sensor File Name,Actual Depth Reached (m),Number of 250 ml Ethanol Preservations,Number of 500 ml Ethanol Preservations,Number of 250 ml Formalin Preservations,Number of 500 ml Formalin Preservations,Comments,tow_type,Flow Meter 1 SN,Flow Meter 1 location,Flow Meter 1 Average Spin,Flow Meter 1 Start,Flow Meter 1 End,Flow Meter  1 Difference,Flow Meter 2 SN,Flow Meter 2 location,Flow Meter 2 Average Spin,Flow Meter 2 Start,Flow Meter 2 End,Flow Meter 2 Difference,Total Wire Out Required (m),Deployment Winch Speed (m/min),Recovery Winch Speed (m/min),Depth 1 (m),Time at Depth 1 (min),Depth 2 (m),Time at Depth 2 (min),"Wire Out, Wire Angle Pairings (m/°)",Number of 250 ml Ethanol Preservations (100) ,Number of 500 ml Ethanol Preservations (100),Number of 250 ml Ethanol Preservations (200) ,Number of 500 ml Ethanol Preservations (200),Time at Depth 1 (MM:ss),Number of 250 ml Ethanol Preservations (335-1),Number of 500 ml Ethanol Preservations (335-1),Number of 250 ml Formalin Preservations (335-2),Number of 500 ml Formalin Preservations (335-2)
0,P101.E.WCOA21,101,,E,WCOA21,WCOA 2021,7/1/21,WCOA 1.P,CR24,Vertical 200,,,,,,,,,,,,,,,,,,,,,,CR24,V200_CR24,1-Jul-21,100,6:53,46 07.5864 N,124 31.7617 W,0.4,6.89,16.748,135.15,6:57,46 07.5790 N,124 31.7754 W,0.4,7,16.75,136.09,7:01,46 07.5393 N,124 31.7997 W,0.5,6.49,16.767,135.6,0:08,6-8,"MMS, NG, ST",TSK,7408,0,632,U-16474,V200_CR24_pressure,99.25,1,0,NA,NA,bit of a wire angle during descent; not fully vertical ,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P102.E.WCOA21,102,,E,WCOA21,WCOA 2021,7/2/21,WCOA 2.P,C41,Vertical 200,,,,,,,,,,,,,,,,,,,,,,C41,V200_C41,2-Jul-21,100,7:12,47 06.8942 N,125 12.0152 W,0.8,9.53,15.934,1576.78,7:17,47 06.8947 N,125 12.0190 W,0.5,12.1,15.932,1571.44,7:21,47 06.8940 N,125 12.0166 W,0.4,11.05,15.924,1570.74,0:09,4-6,"MMS, JC, BD",TSK,7408,0,744,U-16474,V200_C41_pressure,97.86,1,0,NA,NA,wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P103.E.WCOA21,103,,E,WCOA21,WCOA 2021,7/2/21,WCOA 3.P,C41,Bongo 200,,,,,,,,,,,,,,,,,,,,,,C41,B100-200_C41,2-Jul-21,100,9:21,47 06.1049 N,125 11.6295 W,1.7,13.88,15.545,1563.06,9:27,47 05.9320 N,125 11.6465 W,1.8,9,15.552,1535.52,9:34,47 05.7227 N,125 11.6985 W,1.7,12.95,15.446,1494.87,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_C41_pressure,104.07,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,125112,149635,24523,B30497,200  µm (inboard),121.25,149054,173823,24769,141,30,20,100,0,NA,NA,"75/46, 141/49, 75/50, 0/25",0,1,0,1,,,,,
9,P104.E.WCOA21,104,,E,WCOA21,WCOA 2021,7/3/21,WCOA 4.P,Ecola,Vertical 200,,,,,,,,,,,,,,,,,,,,,,Ecola,V200_Ecola,3-Jul-21,50,5:52,45 55.0347 N ,124 05.0735 W,0.3,12.47,17.029,71.3,5:54,45 55.0347 N ,124 05.0819 W,0.3,11.77,17.028,71.4,5:57,45 55.0331 N,124 05.0935 W,0.6,11.27,17.032,71.31,0:05,2-3,"MMS, NG, ST",TSK,7408,0,334,U-16474,V200_Ecola_pressure,49.21,1,0,NA,NA,strong wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P105.E.WCOA21,105,,E,WCOA21,WCOA 2021,7/4/21,WCOA 5.P,NH10,Vertical 200,,,,,,,,,,,,,,,,,,,,,,NH10,V200_NH10,4-Jul-21,50,6:04,44 39.2402 N,124 17.6719 W,0.6,14.23,13.649,75.95,6:07,44 39.2402 N,124 17.6471 W,0.5,13.77,13.648,76.65,6:10,44 39.2404 N,124 17.6477 W,0.2,16.11,13.629,75.92,0:06,6-8,"MMS, NG, ST",TSK,7408,0,257,U-16474,V200_NH10_pressure,45.87,1,0,NA,NA,net drifting inboard on ship during deployment,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P106.E.WCOA21,106,,E,WCOA21,WCOA 2021,7/5/21,WCOA 6.P,HH20,Vertical 200,,,,,,,,,,,,,,,,,,,,,,HH20,V200_HH20,5-Jul-21,100,7:17,44 00.0410 N,124 36.0374 W,0.6,21.37,14.178,149.81,7:21,44 00.0419 N,124 36.0757 W,0.5,17.55,14.181,146.64,7:25,44 00.0412 N,124 36.1036 W,0.4,15.38,14.177,146.32,0:08,4-6,"MMS, NG, BD",TSK,7408,0,688,U-16474,V200_HH20_pressure,96.83,0,1,NA,NA,strong wind; wire angle on descent,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P107.E.WCOA21,107,,E,WCOA21,WCOA 2021,7/5/21,WCOA 7.P,HH20,Bongo 200,,,,,,,,,,,,,,,,,,,,,,HH20,B100-200_HH20,5-Jul-21,100,9:24,43 59.7262 N,124 36.7654 W,1.2,19.46,14.205,147.98,9:29,43 59.8414 N,124 36.9323 W,1.7,17.5,14.2,143.36,9:37,44 00.0381 N,124 37.0417 W,1.8,16.06,14.217,144.39,0:13,4-6,"MMS, NG, BD",General Oceanics,,,,U-16454,B100-200_HH20_pressure,105.2,,,,,,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,159177,184111,24934,B30497,200  µm (inboard),121.25,191458,217177,25719,141,30,20,100,0,NA,NA,"75/40, 141/46, 75/50, 0/51",0,1,0,1,,,,,
23,P109.E.WCOA21,109,,E,WCOA21,WCOA 2021,7/10/21,WCOA 9.P,PA3,Bongo 200,,,,,,,,,,,,,,,,,,,,,,PA3,B100-200_PA3,10-Jul-21,75,8:07,38 54.1118 N,123 47.7328 W,1.8,22.96,10.818,94.40,8:11,38 54.1913 N,123 47.8076 W,1.3,22.14,10.833,95.38,8:15,38 54.2729 N,123 47.8769 W,0.8,21.55,10.826,96.18,0:08,8-10,"MMS, NG, CI, BD",General Oceanics,,,,U-16454,B100-200_PA3_pressure,87.61,,,,,surface current; high wire angle near surface,Bongo 200 and Bongo 100,B30498,100  µm (outboard),120.5,223449,232365,8916,B30497,200  µm (inboard),121.25,263108,283247,20139,106,30,30,75,0,NA,NA,"75/47, 106/46, 75/53, 0/49",0,1,1,0,,,,,
25,P110.E.WCOA21,110,,E,WCOA21,WCOA 2021,7/14/21,WCOA 10.P,ML60,Vertical 200,,,,,,,,,,,,,,,,,,,,,,ML60,V200_ML60,14-Jul-21,100,7:03,36 27.0634 N,122 46.1841 W,0.6,16.22,14.801,2920.28,7:07,36 27.0321 N,122 46.2038 W,0.5,14.45,14.809,2922.99,7:11,36 27.0038 N,122 46.2231 W,0.6,14.90,14.781,2925.81,0:08,6-8,"MMS, CI, BD",TSK,7408,0,945,U-16474,V200_ML60_pressure,86.13,1,0,NA,NA,"TSK soaked in freshwater last night, seems to be spinning well; net drifting forward of science deck on recovery (strong current?) ",Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P111.E.WCOA21,111,,E,WCOA21,WCOA 2021,7/16/21,WCOA 11.P,73.3-70,Vertical 200,,,,,,,,,,,,,,,,,,,,,,73.3-70,V200_73.3-70,16-Jul-21,100,9:12,34 58.2849 N,122 39.2520 W,0.3,18.93,15.046,4060.07,9:16,34 58.2708 N,122 39.2879 W,0.4,18.63,15.043,4060.78,9:20,34 58.2619 N,122 39.3125 W,0.4,15.77,15.041,4059.56,0:08,4-6,"MMS, CI, BD",TSK,7408,0,733,U-16474,V200_73.3-70_pressure,93.89,1,0,,,,Vertical 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
